canonical_lead_id,buyer_id,company_name,country,continent,language,tier,priority_bucket,priority_rank,email,phone,website,linkedin_company,named_contact_status,queue_matched,send_status,requires_manual_approval
AFLEAD-0041,HUB-0041,CK Ingredients & CK Nutraceuticals,Canada,North America,English,Tier 2,High,,info@ckingredients.com,+1 905-738-6891,ckingredients.com,linkedin.com/company/ck-ingredients,to_find,False,,
AFLEAD-0048,HUB-0048,CSN Pharma,Canada,North America,English,Tier 2,High,,info@csnpharma.com,,csnpharma.com,linkedin.com/company/csn-pharma,to_find,False,,
AFLEAD-0042,HUB-0042,Canadian Protein,Canada,North America,English,Tier 2,High,,info@canadianprotein.com,+1 888-241-4441,canadianprotein.com,linkedin.com/company/canadian-protein,to_find,False,,
AFLEAD-0049,HUB-0049,Dempsey Corporation Canada,Canada,North America,English,Tier 2,High,,info@dempseyco.com,,dempseyco.com,linkedin.com/company/dempsey-corporation,to_find,False,,
AFLEAD-0043,HUB-0043,Enerex Botanicals,Canada,North America,English,Tier 2,High,,info@enerex.ca,+1 604-888-9963,enerex.ca,linkedin.com/company/enerex-botanicals,to_find,False,,
AFLEAD-0050,HUB-0050,FCC Products Inc.,Canada,North America,French,Tier 2,High,,info@fccproducts.com,,fccproducts.com,linkedin.com/company/fcc-products,to_find,False,,
AFLEAD-0051,HUB-0051,Ingredients Plus Distribution,Canada,North America,English,Tier 2,High,,info@ingredientsplus.ca,,ingredientsplus.ca,linkedin.com/company/ingredients-plus,to_find,False,,
AFLEAD-0052,HUB-0052,International Nutrition Inc.,Canada,North America,English,Tier 2,High,,info@internationalnutrition.ca,,internationalnutrition.ca,linkedin.com/company/international-nutrition-canada,to_find,False,,
AFLEAD-0044,HUB-0044,LBB Specialties Canada,Canada,North America,English,Tier 2,High,,canada@lbbspecialties.com,+1 905-849-3322,lbbspecialties.com,linkedin.com/company/lbb-specialties,to_find,False,,
AFLEAD-0053,HUB-0053,North of 49 Naturals,Canada,North America,English,Tier 2,High,,info@northof49naturals.com,,northof49naturals.com,linkedin.com/company/north-of-49-naturals,to_find,False,,
AFLEAD-0054,HUB-0054,Nutra Food Ingredients (Montreal),Canada,North America,French,Tier 2,High,,info@nutrafoodingredients.com,,nutrafoodingredients.com,linkedin.com/company/nutra-food-ingredients,to_find,False,,
AFLEAD-0055,HUB-0055,Nutralab Canada Corp,Canada,North America,English,Tier 2,High,,info@nutralabcorp.com,,nutralabcorp.com,linkedin.com/company/nutralab-canada,to_find,False,,
AFLEAD-0045,HUB-0045,Quadra Group,Canada,North America,English,Tier 2,High,,info@quadragroup.com,+1 905-819-4242,quadragroup.com,linkedin.com/company/quadra-group,to_find,False,,
AFLEAD-0046,HUB-0046,Qualifirst Foods,Canada,North America,English,Tier 2,High,,info@qualifirst.com,+1 416-444-8300,qualifirst.com,linkedin.com/company/qualifirst,to_find,False,,
AFLEAD-0056,HUB-0056,Simply Ingredient Foods,Canada,North America,English,Tier 2,High,,info@simplyingredient.com,,simplyingredient.com,linkedin.com/company/simply-ingredient,to_find,False,,
AFLEAD-0047,HUB-0047,VORST Canada,Canada,North America,English,Tier 2,High,,info@vorstcanada.com,+1 604-XXX-XXXX,vorstcanada.com,linkedin.com/company/vorst-canada,to_find,False,,
AFLEAD-0057,HUB-0057,ine+ nutrition,Canada,North America,English,Tier 2,High,,info@inenutrition.com,,inenutrition.com,linkedin.com/company/ine-nutrition,to_find,False,,
