priority_rank,company_name,country,communication_language,website,generic_email,generic_phone,linkedin_company,search_query,candidate_name,candidate_title,candidate_profile_url,candidate_source,evidence_snippet,match_confidence,recommended_use,next_action
1,Athletic Greens (AG1),United States,English,,support@drinkag1.com,+1 833-687-9797,linkedin.com/company/athletic-greens,"site:linkedin.com/in ""Athletic Greens"" procurement OR sourcing OR buyer OR product development",Tony Milikin,Chief Supply Chain Officer,https://drinkag1.com/leadership,AG1 leadership page,"Tony Milikin is Chief Supply Chain Officer and leads all aspects of supply chain operations, procurement, and sustainability.",high,Best current named target for sourcing / procurement-led outreach,"Use Tony Milikin as primary named contact candidate, then verify if a direct email pattern can be found"
2,Naked Nutrition,United States,English,,info@nakednutrition.com,+1 855-456-2533,linkedin.com/company/naked-nutrition,"site:linkedin.com/in ""Naked Nutrition"" procurement OR sourcing OR buyer OR product development",Stephen Zieminski,Founder,https://nakednutrition.com/pages/about-us,Naked Nutrition about-us page,In 2014 former cross country and track All-American Stephen Zieminski founded Naked Nutrition.,high,Use as founder-level named contact candidate for brand-side outreach,Look for sourcing or product-development support around Stephen Zieminski on LinkedIn or team pages
3,Nutra Business,United States,English,,info@nutrabusiness.com,+1 888-588-3041,linkedin.com/company/nutra-business,"site:linkedin.com/in ""Nutra Business"" procurement OR sourcing OR buyer OR product development",,,,No candidate found,,none,Keep generic company route until a named contact is found,Search company team / leadership pages and LinkedIn company employees
4,Organifi,United States,English,,info@organifi.com,+1 888-409-9657,linkedin.com/company/organifi,"site:linkedin.com/in ""Organifi"" procurement OR sourcing OR buyer OR product development",Drew Canole,Public brand figure associated with Organifi (title to verify),https://www.organifishop.com/pages/health-disclaimer,Organifi health disclaimer page,"The opinions expressed by Organifi.com, Drew Canole and by FitLife.tv are published for educational and informational purposes only.",low,"Keep as low-confidence candidate only, do not outreach as named contact until title is verified",Verify Drew Canole relationship/title from an official Organifi leadership or company page
5,The Synergy Company,United States,English,,info@thesynergycompany.com,+1 800-723-0277,linkedin.com/company/the-synergy-company,"site:linkedin.com/in ""The Synergy Company"" procurement OR sourcing OR buyer OR product development",,,,No candidate found,,none,Keep generic company route until a named contact is found,Search company team / leadership pages and LinkedIn company employees
6,Vitaquest International,United States,English,,info@vitaquest.com,+1 800-526-9095,linkedin.com/company/vitaquest,"site:linkedin.com/in ""Vitaquest International"" procurement OR sourcing OR buyer OR product development",,,,No candidate found,,none,Keep generic company route until a named contact is found,Search company team / leadership pages and LinkedIn company employees
7,Bare Performance Nutrition (BPN),United States,English,,support@bareperformancenutrition.com,TO FIND,linkedin.com/company/bare-performance-nutrition,"site:linkedin.com/in ""Bare Performance Nutrition"" procurement OR sourcing OR buyer OR product development",Nick Bare,Founder,https://www.bareperformancenutrition.com/pages/about,Bare Performance Nutrition about page,Nick Bare founded Bare Performance Nutrition in 2012 out of his small college apartment in Western Pennsylvania.,high,Use as founder-level named contact candidate for brand-side outreach,Look for operations or product-development support roles adjacent to Nick Bare before send approval
8,Bloom Nutrition,United States,English,,hello@bloomnu.com,TO FIND,linkedin.com/company/bloom-nutrition,"site:linkedin.com/in ""Bloom Nutrition"" procurement OR sourcing OR buyer OR product development",Mari Llewellyn,Co-founder,https://bloomnu.com/pages/about-us,Bloom Nutrition about-us page,When co-founder Mari Llewellyn hit rock bottom mentally and physically... Mari created Bloom.,high,Use as co-founder named contact candidate for brand-side outreach,Look for procurement / product-development support roles adjacent to Mari Llewellyn before send approval
9,Innova Nutra,United States,English,,info@innovanutra.com,TO FIND,linkedin.com/company/innova-nutra,"site:linkedin.com/in ""Innova Nutra"" procurement OR sourcing OR buyer OR product development",,,,No candidate found,,none,Keep generic company route until a named contact is found,Search company team / leadership pages and LinkedIn company employees
10,Live it Up (Super Greens),United States,English,,support@liveitup.com,TO FIND,linkedin.com/company/live-it-up,"site:linkedin.com/in ""Live it Up"" procurement OR sourcing OR buyer OR product development",Haim Nigri,Co-Founder & CEO,https://letsliveitup.com/pages/about,Live it Up about page,"Haim Nigri, Co-Founder & CEO, is identified on the official Live it Up about page as the founder behind the brand's superfoods story.",high,Use as co-founder / CEO named contact candidate for brand-side outreach,Look for product-development or sourcing support roles adjacent to Haim Nigri before send approval
