wave_rank,company_name,country,communication_language,contact_route_type,contact_name,contact_title,email,phone,linkedin_company,approval_status,send_readiness,evidence_strength,recommended_next_step,notes
1,Athletic Greens (AG1),United States,English,named_candidate,Tony Milikin,Chief Supply Chain Officer,support@drinkag1.com,+1 833-687-9797,linkedin.com/company/athletic-greens,draft,ready_for_human_review,high,"Use Tony Milikin as primary named contact candidate, then verify if a direct email pattern can be found","Tony Milikin is Chief Supply Chain Officer and leads all aspects of supply chain operations, procurement, and sustainability."
2,Naked Nutrition,United States,English,named_candidate,Stephen Zieminski,Founder,info@nakednutrition.com,+1 855-456-2533,linkedin.com/company/naked-nutrition,draft,ready_for_human_review,high,Look for sourcing or product-development support around Stephen Zieminski on LinkedIn or team pages,In 2014 former cross country and track All-American Stephen Zieminski founded Naked Nutrition.
3,Nutra Business,United States,English,generic_company,,,info@nutrabusiness.com,+1 888-588-3041,linkedin.com/company/nutra-business,draft,needs_named_contact_enrichment,none,Search company team / leadership pages and LinkedIn company employees,
4,Organifi,United States,English,generic_company,,,info@organifi.com,+1 888-409-9657,linkedin.com/company/organifi,draft,needs_named_contact_enrichment,low,Verify Drew Canole relationship/title from an official Organifi leadership or company page,"The opinions expressed by Organifi.com, Drew Canole and by FitLife.tv are published for educational and informational purposes only."
5,The Synergy Company,United States,English,generic_company,,,info@thesynergycompany.com,+1 800-723-0277,linkedin.com/company/the-synergy-company,draft,needs_named_contact_enrichment,none,Search company team / leadership pages and LinkedIn company employees,
6,Vitaquest International,United States,English,generic_company,,,info@vitaquest.com,+1 800-526-9095,linkedin.com/company/vitaquest,draft,needs_named_contact_enrichment,none,Search company team / leadership pages and LinkedIn company employees,
7,Bare Performance Nutrition (BPN),United States,English,named_candidate,Nick Bare,Founder,support@bareperformancenutrition.com,TO FIND,linkedin.com/company/bare-performance-nutrition,draft,ready_for_human_review,high,Look for operations or product-development support roles adjacent to Nick Bare before send approval,Nick Bare founded Bare Performance Nutrition in 2012 out of his small college apartment in Western Pennsylvania.
8,Bloom Nutrition,United States,English,named_candidate,Mari Llewellyn,Co-founder,hello@bloomnu.com,TO FIND,linkedin.com/company/bloom-nutrition,draft,ready_for_human_review,high,Look for procurement / product-development support roles adjacent to Mari Llewellyn before send approval,When co-founder Mari Llewellyn hit rock bottom mentally and physically... Mari created Bloom.
9,Innova Nutra,United States,English,generic_company,,,info@innovanutra.com,TO FIND,linkedin.com/company/innova-nutra,draft,needs_named_contact_enrichment,none,Search company team / leadership pages and LinkedIn company employees,
10,Live it Up (Super Greens),United States,English,named_candidate,Haim Nigri,Co-Founder & CEO,support@liveitup.com,TO FIND,linkedin.com/company/live-it-up,draft,ready_for_human_review,high,Look for product-development or sourcing support roles adjacent to Haim Nigri before send approval,Haim Nigri is identified as Co-Founder & CEO on the official Live it Up about page.
