canonical_lead_id,buyer_id,company_name,country,continent,language,tier,priority_bucket,priority_rank,email,phone,website,linkedin_company,named_contact_status,queue_matched,send_status,requires_manual_approval
AFLEAD-0014,HUB-0014,FUTURE FOODS (Maquila),Mexico,North America,Spanish,Tier 1,High,14,info@futurefoods.com.mx,+52 55 5362-5089,futurefoods.com.mx,linkedin.com/company/future-foods-mexico,to_find,False,,
AFLEAD-0021,HUB-0021,Laboratorios Global Nature Health,Mexico,North America,Spanish,Tier 1,High,21,info@gnhlab.com,,gnhlab.com,linkedin.com/company/global-nature-health,to_find,False,,
AFLEAD-0022,HUB-0022,VitaGreen México,Mexico,North America,Spanish,Tier 1,High,22,info@vitagreen.mx,,vitagreen.mx,linkedin.com/company/vitagreen-mexico,to_find,False,,
AFLEAD-0029,HUB-0029,Doehler Mexico S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,mailbox.mx@doehler.com,+52 55 7316-6700,doehler.com,linkedin.com/company/doehler,to_find,False,,
AFLEAD-0037,HUB-0037,Exkal S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,ventas@exkal.com,,exkal.com,linkedin.com/company/exkal,to_find,False,,
AFLEAD-0030,HUB-0030,FRULED S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,ventas@fruled.mx,+52 55 5694-4732,fruled.mx,linkedin.com/company/fruled,to_find,False,,
AFLEAD-0031,HUB-0031,FUTURE FOODS S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,info@futurefoods.com.mx,+52 55 5362-5089,futurefoods.com.mx,linkedin.com/company/future-foods-mexico,to_find,False,,
AFLEAD-0032,HUB-0032,Farm Direct Foods Latin America,Mexico,North America,Spanish,Tier 1,High,,contacto@fdfla.com,+52 442 296-6160,fdfla.com,linkedin.com/company/farm-direct-foods,to_find,False,,
AFLEAD-0038,HUB-0038,Ferbera,Mexico,North America,Spanish,Tier 1,High,,ventas@ferbera.com,,ferbera.com,linkedin.com/company/ferbera,to_find,False,,
AFLEAD-0039,HUB-0039,GCAB Company S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,ventas@gcab.com.mx,,gcab.com.mx,linkedin.com/company/gcab-company,to_find,False,,
AFLEAD-0033,HUB-0033,Green Wealth,Mexico,North America,Spanish,Tier 1,High,,info@greenwealth.com.mx,+52 33 2472-3964,greenwealth.com.mx,linkedin.com/company/green-wealth-mexico,to_find,False,,
AFLEAD-0040,HUB-0040,Industrias de Nutraceuticos,Mexico,North America,Spanish,Tier 1,High,,contacto@industriasdenutraceuticos.mx,,industriasdenutraceuticos.mx,linkedin.com/company/industrias-de-nutraceuticos,to_find,False,,
AFLEAD-0034,HUB-0034,NIUCO S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,ventas@niuco.com.mx,+52 55 5567-4022,niuco.com.mx,linkedin.com/company/niuco,to_find,False,,
AFLEAD-0035,HUB-0035,Quimica Herbal S.A. de C.V.,Mexico,North America,Spanish,Tier 1,High,,ventas@quimicaherbal.com.mx,+52 55 4440-5846,quimicaherbal.com.mx,linkedin.com/company/quimica-herbal,to_find,False,,
AFLEAD-0036,HUB-0036,Welbing Mexico / BeHemp,Mexico,North America,Spanish,Tier 1,High,,equipodeventas@welbingmexico.com,+52 55 5360-4763,welbingmexico.com,linkedin.com/company/welbing-mexico,to_find,False,,
