queue_id,lead_id,company,country,communication_language,outreach_target_type,outreach_template_key,outreach_template_file,outreach_template_section,outreach_subject,send_channel,send_target,contact_name,contact_role,source_url,wave,send_status,requires_manual_approval,attempt_count,last_attempt_at_utc,last_result,notes,last_inbox_event_type,last_inbox_event_at_utc,do_not_contact,blocked_reason
TOP10-0001,TOP10LEAD-0001,Athletic Greens (AG1),United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,support@drinkag1.com,,General inbox / routing contact,https://linkedin.com/company/athletic-greens,wave-top10-operational-2026-04-28,sent,false,1,2026-04-28T23:14:24Z,sent via smtp to support@drinkag1.com,"Named candidate identified: Tony Milikin (Chief Supply Chain Officer, confidence high) | Use Tony Milikin as primary named contact candidate, then verify if a direct email pattern can be found | Tony Milikin is Chief Supply Chain Officer and leads all aspects of supply chain operations, procurement, and sustainability.",,,false,
TOP10-0002,TOP10LEAD-0002,Naked Nutrition,United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,questions@nakednutrition.com,,General inbox / routing contact,https://linkedin.com/company/naked-nutrition,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,"Named candidate identified: Stephen Zieminski (Founder, confidence high) | Look for sourcing or product-development support around Stephen Zieminski on LinkedIn or team pages | In 2014 former cross country and track All-American Stephen Zieminski founded Naked Nutrition. | guardrail bounce logged 2026-04-28T23:20:10Z | official contact page shows questions@nakednutrition.com; replaced bounced info@nakednutrition.com",,,false,
TOP10-0003,TOP10LEAD-0003,Nutra Business,United States,English,manufacturer,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,info@nutrabusiness.com,,General inbox / routing contact,https://linkedin.com/company/nutra-business,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,Search company team / leadership pages and LinkedIn company employees | test preview sent 2026-04-29T19:48:03Z to underwatermanagement.mx@gmail.com | nutrabusiness.com contact page did not expose a public email during audit; current info@ target remains unverified and should stay manual-review only,,,false,
TOP10-0004,TOP10LEAD-0004,Organifi,United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,support@organifi.com,,General inbox / routing contact,https://linkedin.com/company/organifi,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,"Verify Drew Canole relationship/title from an official Organifi leadership or company page | The opinions expressed by Organifi.com, Drew Canole and by FitLife.tv are published for educational and informational purposes only. | official contact page shows support@organifi.com; replaced riskier info@organifi.com",,,false,
TOP10-0005,TOP10LEAD-0005,The Synergy Company,United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,info@thesynergycompany.com,,General inbox / routing contact,https://linkedin.com/company/the-synergy-company,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,Search company team / leadership pages and LinkedIn company employees | thesynergycompany.com audit did not expose a public email; current info@ target remains unverified and should stay manual-review only,,,false,
TOP10-0006,TOP10LEAD-0006,Vitaquest International,United States,English,manufacturer,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,info@vitaquest.com,,General inbox / routing contact,https://linkedin.com/company/vitaquest,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,Search company team / leadership pages and LinkedIn company employees | vitaquest.com contact page did not expose a public email during audit; current info@ target remains unverified and should stay manual-review only,,,false,
TOP10-0007,TOP10LEAD-0007,Bare Performance Nutrition (BPN),United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,support@bareperformancenutrition.com,Nick Bare,Founder,https://linkedin.com/company/bare-performance-nutrition,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,Search company team / leadership pages and LinkedIn company employees | bareperformancenutrition.com help-center flow did not expose a public email during audit; current support@ target remains unverified and should stay manual-review only | official about page confirms Nick Bare founded Bare Performance Nutrition in 2012; keep support@ route manual-review only until a direct team email is validated,,,false,
TOP10-0008,TOP10LEAD-0008,Bloom Nutrition,United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,hello@bloomnu.com,,General inbox / routing contact,https://linkedin.com/company/bloom-nutrition,wave-top10-operational-2026-04-28,sent,true,1,2026-04-28T23:20:56Z,sent via smtp to hello@bloomnu.com,"Named candidate identified: Mari Llewellyn (Co-founder, confidence high) | Look for procurement / product-development support roles adjacent to Mari Llewellyn before send approval | When co-founder Mari Llewellyn hit rock bottom mentally and physically... Mari created Bloom. | guardrail bounce logged 2026-04-28T23:20:58Z | bloomnu.com contact page does not expose a public email; move to contact-form or named-contact research before resend",bounce,2026-04-28T23:20:58Z,false,bounce
TOP10-0009,TOP10LEAD-0009,Innova Nutra,United States,English,manufacturer,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,sales@innovanutra.com,,General inbox / routing contact,https://linkedin.com/company/innova-nutra,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,Search company team / leadership pages and LinkedIn company employees | official contact page shows sales@innovanutra.com; replaced riskier info@innovanutra.com,,,false,
TOP10-0010,TOP10LEAD-0010,Live it Up (Super Greens),United States,English,brand,en_manufacturer,leads/outreach-messages-en-es-2026-04-21.md,English - manufacturer / product development,Potential non-binding ingredient partnership for product development,email,support@liveitup.com,Haim Nigri,Co-Founder & CEO,https://linkedin.com/company/live-it-up,wave-top10-operational-2026-04-28,draft_not_sent,true,0,,,Search company team / leadership pages and LinkedIn company employees | letsliveitup.com help-center contact form was found but no public email was exposed during audit; current support@ target remains unverified and should stay manual-review only | official about page identifies Haim Nigri as Co-Founder & CEO; current support@ route remains manual-review only until a direct team email is validated,,,false,
